"select_Adress","select_Rooms","select_m2","select_Price","select_Floor"
"Brīvības 91","2","50","129,500 €","1/6"
"Brīvības 91","2","40","104,600 €","1/6"
"Brīvības 91","3","57","148,000 €","2/6"
"Čaka 31","2","29","400 €/mēn.","3/5"
"Stabu 61","2","54","69,900 €","1/5"
"Sadovņikova 29A","3","77","750 €/mēn.","5/6"
"Tomsona 39/1","2","68","160,000 €","2/9"
"Antonijas 16","2","63","820 €/mēn.","2/6"
"Noliktavas 3","3","104","700 €/mēn.","1/5"
"Lāčplēša 62","2","67","420 €/mēn.","3/5"
"Skolas 34","2","64","127,000 €","1/7"
"Avotu 66","2","46","69,000 €","2/5"
"J. Daliņa 2","3","54","350 €/mēn.","3/5"
"Miera 63","1","23","35,000 €","3/4"
"Pulkv. Brieža 7","4","107","1,000 €/mēn.","5/6"
"Republikas laukums..","3","125","1,000 €/mēn.","5/6"
"Pulkv. Brieža 7","4","106","800 €/mēn.","4/6"
"Tērbatas 45","3","77","1,100 €/mēn.","3/4"
"Ģertrūdes 69","2","45","71,000 €","1/6"
"Kalpaka bulv. 7","3","135","1,350 €/mēn.","2/5"
"Valmieras 28","3","90","700 €/mēn.","2/5"
"Stabu 20","2","77","410 €/mēn.","5/6"
"Laboratorijas 4","3","67","125,000 €","2/5"
"Dzirnavu 102","1","18","150 €/mēn.","4/5"
"Bruņinieku 12","4","118","800 €/mēn.","2/7"
"Čaka 109","2","47","62,000 €","4/6"
"Brīvības 103","1","38","460 €/mēn.","3/6"
"Tallinas 87","1","25","170 €/mēn.","2/2"
"Strēlnieku 8","3","196","382,180 €","2/7"
"Grostonas 21","1","49","490 €/mēn.","1/10"
"Vesetas 34","1","35","300 €/mēn.","12/12"
"Lāčplēša 121A","1","23","250 €/mēn.","2/4"
"Valdemāra 147","1","37","62,000 €","3/5"
"Lienes 27","1","24","27,500 €","1/2"
"Tomsona 24","4","85","770 €/mēn.","5/5"
"Bruņinieku 71b","2","47","300 €/mēn.","1/4"
"Puškina 2","3","63","84,500 €","3/3"
"Kazarmu 4","2","46","270 €/mēn.","4/5"
"Matīsa 14","2","33","36,000 €","2/2"
"Zvaigžņu 26","1","35","44,900 €","3/5"
"Matīsa 133","1","30","320 €/mēn.","1/5"
"Brīvības 76","5","250","650,000 €","4/6"
"Klusā 18/20","3","92","470 €/mēn.","2/8"
"Grostonas 17","3","88","265,000 €","7/9"
"Tomsona 4","4","88","172,000 €","2/5"
"Pērnavas 10","3","80","128,000 €","5/5"
"Zvaigžņu 24","2","57","350 €/mēn.","5/7"
"Maskavas 11","1","26","23,850 €","1/2"
"Bruņinieku 104","2","46","550 €/mēn.","3/5"
"Maskavas 11","1","22","19,950 €","1/2"
"Lenču 2","1","50","20,000 €","1/6"
"Katrīnas 3","1","30","53,000 €","4/5"
"Skanstes 29","1","58","600 €/mēn.","5/25"
"Valdemāra 106","5","145","350,000 €","1/5"
"Valdemāra 53","1","28","64,000 €","2/5"
"Republikas laukums..","2","61","150,000 €","2/7"
"Avotu 50","3","59","390 €/mēn.","2/4"
"Ģertrūdes 78","1","35","230 €/mēn.","3/5"
"Ģertrūdes 110","2","39","330 €/mēn.","1/6"
"Asara 4","1","29","57,000 €","2/3"
"Dzirnavu 37","4","134","280,000 €","6/6"
"Čaka 33","2","42","84,561 €","5/7"
"Zvaigžņu 2","2","35","360 €/mēn.","5/5"
"Lugažu 2A","2","41","43,500 €","2/5"
"Čaka 36","2","64","159,000 €","4/5"
"Deglava 9","1","26","399 €/mēn.","1/6"
"Sadovņikova 21","1","20","160 €/mēn.","5/6"
"M. Matīsa 3","1","27","25,900 €","1/5"
"Baznīcas 35","6","157","341,000 €","1/6"
"Klijānu 6","1","50","440 €/mēn.","8/9"
"Dzirnavu 82","2","62","600 €/mēn.","6/6"
"Dzirnavu 70","4","137","750 €/mēn.","4/5"
"Elizabetes 12","4","181","724,800 €","4/5"
"Čaka 136","5","136","299,000 €","4/6"
"Avotu 54a","2","40","350 €/mēn.","4/4"
"Valdemāra 143/3","3","57","400 €/mēn.","2/5"
"Upes 2a","2","66","350 €/mēn.","2/5"
"Barona 28a","3","66","600 €/mēn.","4/6"
"Tomsona 33А","3","76","500 €/mēn.","5/5"
"Rūpniecības 20","2","85","750 €/mēn.","4/4"
"Kazarmu 2","1","44","260 €/mēn.","2/5"
"Bruņinieku 28","3","97","230,000 €","6/7"
"Lāčplēša 62","2","54","85,700 €","3/6"
"Bruņinieku 12","5","143","226,000 €","5/7"
"Brīvības 95","2","78","205,040 €","7/7"
"Valdemāra 69","1","21","61,000 €","1/5"
"Bruņinieku 85","2","42","87,129 €","2/3"
"Čaka","3","-","vēlos
īret","-"
"Ģertrūdes 78","2","52","82,000 €","2/5"
"Čaka 59","2","50","330 €/mēn.","3/4"
"Brīvības 84","2","44","97,000 €","5/6"
"Matīsa 65","2","96","650 €/mēn.","5/6"
"Šarlotes 6","4","113","700 €/mēn.","3/5"
"Lāčplēša 21","1","25","300 €/mēn.","5/5"
"Čaka 110","1","41","330 €/mēn.","3/5"
"Barona 3","Citi","176","324,000 €","4/5"
"Alūksnes 2","2","52","79,000 €","2/5"
"Ausekļa 8","4","138","600 €/mēn.","6/6"
"Birznieka-Upīša 13","2","56","950 €/mēn.","4/6"
"-","Citi","-","pērku","-"
"Elizabetes 9","3","57","700 €/mēn.","3/5"
"Visvalža 3","2","55","320 €/mēn.","3/5"
"Maskavas 88","3","74","98,208 €","2/5"
"Klijānu 5","2","53","85,000 €","3/6"
"Vesetas 24","4","133","1,700 €/mēn.","10/10"
"Briāna 4","3","73","720 €/mēn.","2/5"
"Sadovņikova 39","2","45","45 €/dienā","2/7"
"Laboratorijas 11","1","12","255 €/mēn.","2/4"
"Kalniņa 1","1","37","95,777 €","1/5"
"Duntes 50","2","37","24,800 €","1/4"
"Miera 11","3","63","300 €/mēn.","6/6"
"Antonijas 16","4","100","355,000 €","3/7"
"Strēlnieku 5","3","90","491,656 €","3/6"
"Stabu 53","2","50","105,000 €","3/6"
"Čaka 117","2","59","430 €/mēn.","6/6"
"Pededzes 3","2","56","570 €/mēn.","1/4"
"Klijānu 6","2","46","85,000 €","5/9"
"Lāčplēša 53","2","32","83,500 €","3/5"
"Stabu 81","3","70","128,000 €","4/5"
"Čaka 59","1","24","360 €/mēn.","2/5"
"Tērbatas 41/43","5","154","900 €/mēn.","5/6"
"Pulkv. Brieža 35","3","124","1,200 €/mēn.","2/7"
"Bruņinieku 47","3","73","153,000 €","5/6"
"Dzirnavu 83","3","77","298,000 €","5/7"
"Ganību d. 15A","2","51","99,500 €","2/5"
"Klusā 20","1","36","36,600 €","1/9"
"Čaka 156","2","36","300 €/mēn.","5/6"
"Silmaču 2","2","46","500 €/mēn.","2/4"
"Klijānu 6","3","52","480 €/mēn.","2/9"
"Ģertrūdes 37","3","83","85,000 €","1/5"
"Čaka 117/1","3","75","560 €/mēn.","6/6"
"Čaka 136a","1","24","260 €/mēn.","2/2"
"Avotu 11","3","81","550 €/mēn.","5/6"
"Maskavas 39A","1","70","270 €/mēn.","3/4"
"Laboratorijas 11","1","12","155 €/mēn.","3/4"
"Strēlnieku 7","3","85","1,500 €/mēn.","6/7"
"Birznieka-Upīša 23","4","98","18 €/dienā","1/3"
"Brīvības 160","1","30","295 €/mēn.","4/5"
"Pulkv. Brieža 3","2","49","310 €/mēn.","5/5"
"Lāčplēša 31","4","86","500 €/mēn.","2/3"
"Vārnu 11a","1","34","280 €/mēn.","2/4"
"-","Citi","-","pērku","-"
"Valdemāra 69","2","35","500 €/mēn.","5/3"
"Valdemāra 57/59","2","49","118,000 €","1/7"
"Tērbatas 42/44","3","96","850 €/mēn.","3/5"
"Ausekļa 11","3","80","790 €/mēn.","4/6"
"Vīlandes 10","3","106","850 €/mēn.","4/6"
"Valdemāra 40","2","59","485 €/mēn.","1/5"
"Ādmiņu 5","2","58","86,000 €","2/3"
"Zvaigžņu 24","3","58","88,500 €","1/6"
"Dzirnavu 37","4","134","324,000 €","6/6"
"Miera 90","2","59","93,000 €","3/7"
"Katrīnas 8","1","30","18,700 €","1/2"
"Klijānu 5","2","50","320 €/mēn.","4/6"
"Asara 20","3","50","350 €/mēn.","2/2"
"Lāčplēša 17","1","31","43,500 €","1/5"
"Valdemāra 106","5","145","350,000 €","1/5"
"Eksporta 16","2","42","58,000 €","3/5"
"Katrīnas d. 15","1","29","45,000 €","4/4"
"Alauksta 10","1","34","300 €/mēn.","2/6"
"Lāčplēša 98","1","20","260 €/mēn.","3/5"
"Sadovņikova 39","3","50","400 €/mēn.","5/7"
"Matīsa 43","3","72","400 €/mēn.","2/5"
"Baznīcas 18A","4","142","650,000 €","7/7"
"Brīvības 95A","3","71","162,380 €","2/3"
"Stabu 91","2","54","121,500 €","3/5"
"Brīvības 95","2","46","99,500 €","5/7"
"Valdemāra 4","2","67","164,400 €","1/5"
"Valdemāra 4","1","32","67,050 €","1/5"
"Blaumaņa 36","4","200","1,000 €/mēn.","1/5"
"Cēsu 9","3","133","1,550 €/mēn.","6/7"
